SNID,survives,reason,n_observations,n_nights,time_span,n_bands
a3f7ac57-349f-44a8-bc11-dd101444ace1,True,passes,147.0,66.0,180.6796875,6.0
14c2643a-48e6-4bae-a2e0-20b41cdbefaf,True,passes,156.0,64.0,180.67578125,6.0
1ee3563b-4982-460e-8a6f-f609d50f62c9,True,passes,140.0,61.0,176.65234375,6.0
23af3b06-9c88-44d8-a6c2-39a062326bbf,True,passes,147.0,63.0,180.69921875,6.0
28ea9e0f-cd86-4b7e-becb-9970dd7a006c,True,passes,139.0,59.0,175.65234375,6.0
c277a753-263d-45cf-914f-cc97dce31425,True,passes,132.0,58.0,164.74609375,6.0
946a4392-911b-4e13-8d45-7b3d49d184ec,True,passes,132.0,58.0,180.6796875,6.0
d1a059cd-5fd8-4b2d-a93d-cf5fc9d1942e,True,passes,128.0,58.0,176.6484375,6.0
b7f4b026-6b06-494e-9737-a02df930e7de,True,passes,63.0,34.0,154.8046875,6.0
57245251-c21f-4736-8427-2b70bd52bdf1,True,passes,129.0,52.0,155.69921875,6.0
8a6a4c14-1d65-4c8a-949b-0e30cfcfebf3,True,passes,113.0,48.0,150.6640625,6.0
b2ed7c6a-a9d2-4199-ad29-b1144f76b671,True,passes,119.0,50.0,135.74609375,6.0
42c4d994-fd32-46c1-8099-3b39ea5eb532,True,passes,73.0,45.0,152.828125,6.0
146f71b2-92ce-40dc-9da6-58ae8b0fe316,True,passes,119.0,49.0,155.671875,6.0
bd0b7764-c21c-47f8-a4f5-fd87e7238898,True,passes,48.0,26.0,174.703125,6.0
0a5756d6-d9b8-43cf-b714-29ea71e1dea6,True,passes,102.0,49.0,155.70703125,6.0
ae38e3e6-8672-4d19-b705-2882052a71b0,True,passes,110.0,48.0,148.671875,6.0
99687a54-b492-48f4-9c66-ed4e084bbf74,True,passes,125.0,47.0,151.84375,6.0
668d78ca-8052-4c7d-91cf-f5cb65b383c3,True,passes,106.0,47.0,147.6640625,6.0
0a778372-de88-4501-8e2c-c0c397ad9f21,True,passes,12.0,9.0,149.88671875,6.0
eb51c31d-5c99-4b76-adcb-5f94989e0d14,True,passes,110.0,47.0,161.734375,6.0
19d9479a-ef15-433e-b6a8-7a4ddb0b324c,True,passes,557.0,46.0,155.75,6.0
dbce04ab-1a55-4d43-abb2-b24a53e4fb2a,True,passes,88.0,47.0,227.0859375,4.0
7a8f8f76-0b79-4f89-a651-f80c83c35163,True,passes,105.0,46.0,126.74609375,6.0
dbda58d4-cd03-41db-a624-a261cf1d6897,True,passes,103.0,46.0,121.7890625,6.0
00143d0c-fe4a-4ab3-ab88-6ad47acd757a,True,passes,108.0,45.0,155.671875,6.0
47db9e75-b5ed-433a-85a8-34577680d136,True,passes,12.0,9.0,109.7578125,5.0
56c5d441-0ce5-40a3-97df-ae8a43076a20,True,passes,101.0,45.0,126.734375,6.0
dba53e99-8d9c-428e-b79e-3bdad5c61cde,True,passes,22.0,19.0,112.828125,4.0
4ccf49be-18b4-495d-a0c8-0c584a9228f6,True,passes,91.0,44.0,155.66796875,6.0
428ad889-f745-4eba-8bc3-8c0c7fb75987,True,passes,251.0,36.0,174.6796875,6.0
0a2885b0-55e8-47e2-a4e3-5cb044d4b937,True,passes,25.0,17.0,109.7578125,6.0
8f44ac1b-bd5d-4d3d-b608-8e50ba1fc7c7,True,passes,97.0,44.0,131.70703125,6.0
8f1cdc54-86e8-454c-95db-892ec8e0920e,True,passes,65.0,37.0,171.69921875,6.0
89faf71a-a2d8-4ca3-a91e-b136205005d4,True,passes,9.0,8.0,109.7578125,4.0
eb20f57e-c0ba-4201-b052-71040f9f40fb,True,passes,82.0,40.0,152.83203125,6.0
c28abfed-107e-4cd7-b506-54311b8a5f52,True,passes,95.0,42.0,150.66796875,6.0
3d6177e3-04b2-4ecf-804a-f37e41c40c2f,True,passes,18.0,12.0,112.83203125,6.0
fabfaa53-f770-4851-a62a-f51a5aa432ff,True,passes,18.0,12.0,109.7578125,5.0
28da67db-05ce-4158-a31c-f83bc9684c85,True,passes,18.0,15.0,112.828125,6.0
e63ba214-e920-4e33-8f86-974a9ed0f16c,True,passes,77.0,43.0,243.0859375,4.0
dbdb7114-65ee-4916-9f95-42ef7a2d0d4c,True,passes,65.0,31.0,69.98046875,6.0
db92940a-8265-425b-bde4-58c61de74657,True,passes,72.0,43.0,250.19921875,4.0
51f4ad79-e171-4a85-ac92-b8889ea95d8e,True,passes,90.0,41.0,122.7578125,6.0
5c0a0944-be92-489a-b4bc-50d0f57bc816,True,passes,108.0,41.0,146.6640625,6.0
5729f8df-b45d-466c-8ba1-5126219cff34,True,passes,32.0,26.0,113.79296875,4.0
