SNID,oid,sep_arcsec
00088181-62f9-458a-8e23-aa9ed255172d,313871013522702425,0.24903311384602653
001014f4-7826-402e-acd4-65bd91aff9e8,313963359520161878,0.0036463388,202
000cbf17-aada-4b55-8e1a-a4f13d263330,313972151177707592,0.018153964,202
0012c5d3-39b4-4f7d-a089-5a6ff8d1caeb,170028485774934142,0.0016033574,202
000d354e-d858-4bde-8e05-93e904391130,170028526591803764,0.0015228771,202
000d948b-2c8c-4008-9438-1aa93db9f293,313871014462750798,0.08204174,202
0013fab7-58cc-4ad3-a142-296f38b10a63,314002971880849457,0.05886188,202
00143d0c-fe4a-4ab3-ab88-6ad47acd757a,313853533656973342,0.0016394471,202
0016f09b-337a-4ddb-a386-e6c13d588668,313871013103272107,0.0007804562,202
00175d82-4f0f-415e-b58b-beeaae80e7fd,313967767089840215,0.0058131944,202
0017fa18-99cf-4182-8738-681f271c3d69,313945770351394878,0.012382504,202
001995c1-144f-4b7d-9d8f-a6d9272fc0fc,170587106708554028,0.0018737144,202
0021b4e7-2fdd-4994-b59f-d4b84c78f721,313998569386278958,0.00093782146,202
0022d52a-7121-41bb-bdb6-2c52333d30c0,313976545422082119,0.001736859,202
00282e28-f8a6-40a1-a14b-3778aa7830fa,314003014381732033,0.0017830629,202
0029d64d-84b8-45d1-be72-cdc75cb0be47,170028526620114968,0.002600053,202
0029e3ab-03a7-4248-9476-b7bd83ef59b6,314007379306348661,0.0028451837,202
002a1af4-4e2c-42ef-ac77-a0c38ba5f84e,170028491369611386,0.025786512,202
002bef87-eef3-46d2-be33-0d6243f0fa69,313941449009266769,0.0142104225,202
0030b2e5-7af6-4ca1-a508-ebfb894064e0,170028488684732444,0.0021453043,202
003222a7-accf-4f3c-8cf4-53edd4eec0a6,313972153414844441,0.003780974,202
003351c8-54e3-4c9d-bd30-75d182ca79eb,170028511224397956,0.0029753153,202
00350225-8e36-49db-bd6d-03ef0eaa08db,313972153292685501,0.0072123045,202
00349754-fc2f-48a8-8954-ec8f717b3f01,170028485965774915,0.0013347374,202
0036a202-c258-4e16-8d35-6c82d798eb02,170032886379970598,0.0011217751,202
0035cffd-0fbb-462a-a303-97c3b763c1ec,170525508116679302,0.014408569,202
0037c328-8f84-4136-8e0d-7108212ca24e,170433140616595119,0.020502396,202
003e2cd9-6fd8-4baf-81bb-9985d9e15176,170046093820690630,0.008966278,202
00411a33-e951-409d-a593-23de28c89dce,313967752832352281,0.0047667893,202
0046d02c-7800-475c-9faf-42ec4b5819e4,313893021738336290,0.0025254511,202
00443ae6-ede9-4ae2-bad7-2c4d55af3384,313976545946894380,0.0023055817,202
00483039-2178-41cb-86f2-e5e58726aafe,170525508170678707,0.0039723543,202
0049a4ba-3a68-44e2-aaf2-bb61f07600e2,313945770528080046,0.0010647775,202
004cf05b-338d-4978-b5ee-d8716badf2b4,170028527254503523,0.02641113,202
004fc8a2-c690-48a0-a509-4119d230d4e4,313972182604054530,0.0011822233,202
005304e6-3e2d-4546-975d-f03152cd1120,313972182520692823,0.03098992,202
0053ad94-8c67-4a3b-be71-c46477ff026d,313765480714731598,0.0010790158,202
0055b614-1db7-4922-9d65-4c83331f46e7,313998569868623915,0.006909159,202
0055d6a8-92cc-4402-b71a-0c2506b40a66,170028485829984380,0.0041807033,202
00599094-a3e0-4f3e-9f47-4da2dac705fb,313853517937770542,0.002148275,202
0061c7e5-8c61-411f-b223-651af023f327,313871015587348701,0.03859551,202
00662bcb-df3c-453c-93cc-78558655f5f3,313972182694756454,0.008194382,202
0068d229-0b49-4dae-9d47-4e6d8caa3e5e,170032905890300044,0.12456401,202
006c397a-ce09-49a5-a178-d0640027e8f0,170028486771605544,0.0018882581,202
006ff577-6ca8-4e50-97dc-318d7946ba9b,313893021640818724,0.0023257993,202
006cf061-7b16-4053-9166-82e13edbe569,313985350009618592,0.0010645157,202
00722451-11c7-4f16-badd-f40547bb7a56,313963359448858654,0.00318537,202
0075e4a4-4237-4d2b-bed5-3b1715a424bf,170028500598653200,0.52360153,202
00761585-e741-401c-99ff-0c181210affc,170046093260226712,0.016002825,202
0078f7fe-eedb-42f4-9b56-13b892c8809c,313871013275762803,0.00337896,202
007ce09f-bb55-4559-abb7-7c318758fc48,313963359329845348,0.054057863,202
000cbf17-aada-4b55-8e1a-a4f13d263330,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
000d354e-d858-4bde-8e05-93e904391130,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
001014f4-7826-402e-acd4-65bd91aff9e8,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
000d948b-2c8c-4008-9438-1aa93db9f293,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0013fab7-58cc-4ad3-a142-296f38b10a63,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0012c5d3-39b4-4f7d-a089-5a6ff8d1caeb,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00143d0c-fe4a-4ab3-ab88-6ad47acd757a,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0016f09b-337a-4ddb-a386-e6c13d588668,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00175d82-4f0f-415e-b58b-beeaae80e7fd,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0017fa18-99cf-4182-8738-681f271c3d69,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
001995c1-144f-4b7d-9d8f-a6d9272fc0fc,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0021b4e7-2fdd-4994-b59f-d4b84c78f721,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0022d52a-7121-41bb-bdb6-2c52333d30c0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00282e28-f8a6-40a1-a14b-3778aa7830fa,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0029d64d-84b8-45d1-be72-cdc75cb0be47,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0029e3ab-03a7-4248-9476-b7bd83ef59b6,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
002a1af4-4e2c-42ef-ac77-a0c38ba5f84e,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
002bef87-eef3-46d2-be33-0d6243f0fa69,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0030b2e5-7af6-4ca1-a508-ebfb894064e0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
003222a7-accf-4f3c-8cf4-53edd4eec0a6,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
003351c8-54e3-4c9d-bd30-75d182ca79eb,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00349754-fc2f-48a8-8954-ec8f717b3f01,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00350225-8e36-49db-bd6d-03ef0eaa08db,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0035cffd-0fbb-462a-a303-97c3b763c1ec,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0036a202-c258-4e16-8d35-6c82d798eb02,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0037c328-8f84-4136-8e0d-7108212ca24e,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00411a33-e951-409d-a593-23de28c89dce,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
003e2cd9-6fd8-4baf-81bb-9985d9e15176,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0046d02c-7800-475c-9faf-42ec4b5819e4,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00443ae6-ede9-4ae2-bad7-2c4d55af3384,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0049a4ba-3a68-44e2-aaf2-bb61f07600e2,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00483039-2178-41cb-86f2-e5e58726aafe,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
004fc8a2-c690-48a0-a509-4119d230d4e4,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
004cf05b-338d-4978-b5ee-d8716badf2b4,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
005304e6-3e2d-4546-975d-f03152cd1120,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0053ad94-8c67-4a3b-be71-c46477ff026d,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0055d6a8-92cc-4402-b71a-0c2506b40a66,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0055b614-1db7-4922-9d65-4c83331f46e7,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0061c7e5-8c61-411f-b223-651af023f327,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00599094-a3e0-4f3e-9f47-4da2dac705fb,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00662bcb-df3c-453c-93cc-78558655f5f3,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0068d229-0b49-4dae-9d47-4e6d8caa3e5e,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
006c397a-ce09-49a5-a178-d0640027e8f0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
006cf061-7b16-4053-9166-82e13edbe569,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
006ff577-6ca8-4e50-97dc-318d7946ba9b,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00722451-11c7-4f16-badd-f40547bb7a56,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0075e4a4-4237-4d2b-bed5-3b1715a424bf,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
00761585-e741-401c-99ff-0c181210affc,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
007ce09f-bb55-4559-abb7-7c318758fc48,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0078f7fe-eedb-42f4-9b56-13b892c8809c,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
007ea196-0145-4e05-b634-1f45deebd1df,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
050d9186-58b1-4ce1-aa2b-7bf97057da62,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0510af4c-cdee-4da8-8933-334e12623667,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
050f337e-6840-4793-8803-410078d278a0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0515a715-3af9-4ed9-a731-9d8dd737e145,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0516dbb4-cc46-41d0-b62b-a9f7623097b5,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0518b334-45aa-4425-b061-d0b334ca70d9,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
051a103b-2caa-4e6d-b0c0-a9940eecff17,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05234123-1641-42fc-9cf3-bd3a9c98edda,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05211cc0-eaf0-4727-9c2b-7a8446747d58,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05261836-7784-44a5-adde-52fe939d2554,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0523eaf9-e31b-4f67-a80a-f5a8e62df795,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05290745-b1b2-4a88-aab8-e2f1a4ae66dc,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0527cce5-0c42-4294-8712-7e679c89109e,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
052d3aa6-cb85-492f-961a-e08b9da471f2,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
052f99c5-c028-4b37-bd66-a87e06aad5c4,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0530416c-76a0-4c36-8a9f-a6414958cb54,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
052fa95c-b144-43ed-b125-0d591de683f1,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
053cf89c-bd2f-4f21-85e7-bdaa790bb595,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
053f583d-781a-4d0c-9f14-c07cd3ecd0e6,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
054d827f-632a-426e-a74f-5646b02b7dad,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
053facd3-6471-47f5-8e93-fc567c6f06af,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
