SNID,status,max_rhat,n_obs,elapsed_s
dbce04ab-1a55-4d43-abb2-b24a53e4fb2a,marginal,19600.206120503837,89,41.3
99b9f8a7-c1e7-4b2b-991e-eee821e2bb0c,converged,1.0008686617094138,115,30.6
51f4ad79-e171-4a85-ac92-b8889ea95d8e,marginal,4.33413396215834,90,159.8
0075e4a4-4237-4d2b-bed5-3b1715a424bf,converged,1.00344071188138,94,29.0
66949c7f-8fc9-43c8-9f8f-37e0c05fa4cf,marginal,18.92931413301469,98,630.6
8a172038-854f-4568-a1c4-93e45d6d8f3f,marginal,123.57734167991518,58,228.4
7af4e4bc-837b-4148-a3b0-8eb3721ab9c1,converged,1.0084297855729842,63,385.1
9ee76da2-4c75-4428-9c26-18a19b6a246d,converged,1.0058603605860534,724,169.3
75bd15f4-a980-4ab6-845e-190d3ae5f78f,marginal,2.0639803362228313,66,680.2
e5fb7c3e-a353-410e-b73b-e2b2a58c9244,marginal,41.67208833929906,42,488.8
e0daba4a-1595-42ea-8d65-e241de54d30c,marginal,59.87547866834774,45,294.0
428de9ae-babc-464f-8413-cb356355cc75,converged,1.0035291952032166,36,241.4
7fe574a2-5578-48c9-b740-2cd56a1cdcf5,converged,1.0033928583773515,70,149.6
8f156832-1cb6-49e8-a3d4-b5bf27fc0ba1,marginal,2105.3850090196047,37,31.6
94acc0b6-74fe-4fef-94a2-f6d94144e0fa,marginal,5.878229925334238,41,667.7
6b793bea-4f5d-4c2f-9f48-ce26fb0883b1,converged,1.0030196647391392,710,32.1
56f648e6-f83d-4fd0-93bd-7a76c5787806,marginal,9.189187228758128,45,225.6
f06e67e6-4f1c-4595-b480-c3b5c3ff2e05,converged,1.015140828296105,32,254.2
ae1902ac-da9e-4e18-999b-8467a29f1910,marginal,23.908085329833945,32,265.1
28e05bba-4a1d-4549-993d-40ca245caa5a,converged,1.0024384920876324,37,20.0
29243d62-00c8-464c-84a8-60f5f554a591,marginal,128.02908149380374,43,232.0
2e388047-2e9f-48b5-9680-59350f4bc3c3,marginal,60.64681290093,34,232.9
ae06c839-2edf-460c-a63b-a6ab3044d03c,converged,1.0195275150325955,41,221.2
f5a670dd-3230-4454-988f-07dbabd5bc98,marginal,12.606290638942488,31,258.3
38a08452-7689-443d-b205-1f8ef06ab31b,marginal,12.10162730057909,28,205.5
9ea22ec3-3b37-4c49-b81d-8c2ea757f86f,marginal,25.450095749023312,28,253.0
a91fcc62-8572-40d1-984b-9f77daa69f0a,marginal,72.06846242759785,29,314.2
